neighborhood_slug,market_segment,listings,median_price_per_sqm,stabilized_price_per_sqm,ci95_low,ci95_high,relative_ci_width_pct
amiriyeh,Affordable,448,51045751.63398693,59382280.46625771,48585924.71358429,54385964.9122807,11.362434704232408
shahid-navab-safavi,Affordable,398,50000000.0,59315324.48583831,49000000.0,51033964.64646464,4.067929292929277
zahir-abad,Affordable,280,46026315.78947368,58942439.308415465,44541160.59379217,50000000.0,11.860257143276016
masoudieh,Affordable,432,49878048.780487806,58674631.78087778,48764071.2945591,50500645.8136514,3.4816408451239247
shahrak-e-vali-e-asr,Affordable,476,50422413.79310345,58503035.68169247,48854166.666666664,52551307.76636714,7.332336597114974
gomrok,Affordable,438,49212549.603174604,58047310.19692776,48203448.27586207,50000000.0,3.6505967250720133
fallah,Affordable,507,49210526.315789476,57117750.05783495,48787466.94093447,49807692.307692304,2.0731852372619057
chitgar,Affordable,894,41176470.5882353,46840511.57828224,38207194.36525239,45000000.0,16.496813684387053
mobarak-abad-e-beheshti,Affordable,281,30714285.714285713,46513700.42494047,30000000.0,31000000.0,3.255813953488372
shahr-e-ziba,Affordable,1297,32500000.0,36856776.41021599,31506849.315068495,33333333.333333332,5.619950825430269
andisheh,Affordable,1325,30434782.608695652,34732856.78780323,30000000.0,31111111.111111112,3.650793650793654
haft-hoz,Mid-market,356,106966490.29982364,97778756.90975893,103699339.38043451,110055851.06382978,5.942526173924346
bagh-feyz,Mid-market,824,100000000.0,96501688.62792112,99383134.71940501,101405952.38095239,2.0228176615473776
south-shahran,Mid-market,754,100000000.0,96249871.43184596,99421202.95698924,102062074.82993197,2.6408718729427307
daryan-no,Mid-market,253,107843137.25490196,96240079.9267128,104561597.28122345,111015151.5151515,5.984204835096923
sattarkhan,Mid-market,563,100757575.75757575,95865712.53491066,99125000.0,103095394.73684211,3.940542144835779
north-shahran,Mid-market,781,97500000.0,94428549.51927362,96400000.0,99152542.37288135,2.823120382442413
eram,Mid-market,281,103174603.17460318,94407312.18930334,100000000.0,105714285.71428572,5.53846153846154
sadeghiyeh,Mid-market,418,99179445.78911924,93746424.2920244,94827586.20689656,102325268.8172043,7.559714163204462
west-tehranpars,Mid-market,1514,95000000.0,93558575.19253404,93750000.0,96748655.91397849,3.156479909451039
shahrak-e-parvaz,Mid-market,330,100000000.0,93351281.56716052,98701298.7012987,102623015.87301588,3.921717171717182
west-shahrak-e-golestan,Mid-market,1157,95161290.32258065,93317883.67094149,93513529.4117647,99266528.92561984,6.045524912864727
shadman,Mid-market,286,100977403.1563845,93304151.9381526,98986370.7165109,104304800.72463767,5.26695066607137
narmak,Mid-market,728,95571895.4248366,92790701.22040312,93836182.33618234,97493032.24493948,3.8262816620950018
almahdi,Mid-market,254,99206349.20634921,91871821.11299811,96069140.625,100956912.87878788,4.926874431818178
sazman-ab,Mid-market,418,96091163.73822257,91761924.81622715,93821424.66950727,98297180.00339225,4.657821967978357
niroo-havayi,Mid-market,380,95000000.0,90803218.603131,92081376.26262626,98735719.72581874,7.004572066518398
dehkade-olympic,Mid-market,270,96463937.62183237,90640863.87225504,85644536.71328671,105358422.93906811,20.436534845867225
tarasht,Mid-market,334,94117647.05882353,89924118.57690576,90400633.04275633,95267628.20512821,5.171182360020117
kuhak,Mid-market,385,91600000.0,88685404.39330257,90000000.0,93103448.27586207,3.3880439692817337
hakimiyeh,Mid-market,340,86459876.54320988,85288449.56081972,85000000.0,88329380.67571527,3.850781204911101
parastar,Mid-market,270,84000000.0,83715662.6441673,79887096.77419354,89057231.29610115,10.916826811794778
majidiyeh,Mid-market,269,83076923.07692307,83186169.84368704,80000000.0,85903614.45783132,7.106202588130296
tehran-kerman,Mid-market,411,81052631.57894737,81792222.32360882,78823863.63636363,83333333.33333333,5.56363144431327
moniriyeh,Mid-market,308,75440767.08939067,78454697.69132483,72646008.2486375,78355786.89528474,7.5685585750760715
dr-hoshyar,Mid-market,826,76086956.52173913,77448263.14313309,75000000.0,77249258.89328063,2.956168831168822
abouzar,Mid-market,431,72641509.43396227,75872824.65498461,70833333.33333333,74705882.35294117,5.331041507512094
tehran-zanjan,Mid-market,522,71698113.20754717,74747973.71937917,70787861.84210525,72673296.81318203,2.6296856175544443
azarbaijan,Mid-market,799,71428571.42857143,73667295.30234963,70666666.66666667,72580645.16129032,2.6795698924731046
khaje-nezam-molk,Mid-market,306,67809343.43434343,73565904.77940476,65957446.80851064,69090909.0909091,4.620988972459876
nezam-abad,Mid-market,331,67777777.77777778,73262962.1106477,66923076.92307692,69230769.23076923,3.404791929382099
chitgar-lake,Mid-market,1732,71587318.8800523,72722131.57227135,69580077.7261977,73189472.59136213,5.041947263330435
azad-shahr,Mid-market,458,67543859.6491228,71997303.72195268,65932789.55557716,69029829.54545455,4.585228036961328
sabalan,Mid-market,532,67964957.52427185,71857910.81814182,66880434.782608695,68750000.0,2.75077817377233
south-deylaman,Mid-market,360,65849906.19136961,71627183.20395248,65000000.0,67916176.47058824,4.428520311195881
zafaraniyeh,Premium,795,234375000.0,190388814.4700756,225743905.50389546,240740740.74074075,6.398649701053988
elahiyeh,Premium,642,225543478.26086956,178040866.36631513,220000000.0,230404842.4208618,4.613231338406201
velenjak,Premium,531,233081632.6530612,175911745.27588782,228395061.72839507,246478873.23943663,7.7585742407935925
niavaran,Premium,878,196739803.59196675,167755348.12112314,191239395.54612938,200000000.0,4.4528886854232566
farmaniyeh,Premium,638,206057142.85714287,166017018.20262694,200000000.0,212196368.44636846,5.91892534141564
darrous,Premium,706,194270729.76734936,161161752.51622295,189170237.31048122,200000000.0,5.574572506361642
saadat-abad,Premium,1590,168576479.83237296,155815073.6877926,166666666.66666666,171428571.42857143,2.8247741124027868
qeytariyeh,Premium,950,169361147.32724902,149709525.37900352,166003752.34521574,172976359.6452426,4.117005234119018
shahrak-e-gharb,Premium,480,186881720.43010753,147368826.96665686,177777777.7777778,200000000.0,11.891062523973908
pasdaran,Premium,927,163809523.80952382,145294892.10765973,160000000.0,167407407.4074074,4.5219638242894025
aghdasieh,Premium,261,212500000.0,141574733.9467407,195171624.7139588,222727272.72727272,12.967363770971257
gisha,Premium,679,155714285.7142857,135067700.4344526,153295289.85507247,157894736.84210527,2.953773294424735
yousef-abad,Premium,925,145833333.33333334,132023134.14980994,143076923.07692307,150000000.0,4.74725274725275
ekhtiyariyeh,Premium,619,148275862.06896552,128812773.28776376,145076612.9032258,150897058.8235294,3.925417016018695
mirdamad,Premium,643,147222222.2222222,128628276.20193668,142583741.83006534,153333333.33333334,7.301609322974493
heravi,Premium,1051,138695652.17391303,127847455.47180772,135135135.13513514,140000000.0,3.5075828179276396
marzdaran,Premium,798,138668890.93419236,125215572.37973724,136179965.41501978,140430402.93040293,3.065170195527323
zafar,Premium,442,140967365.96736598,119673265.63943993,137500000.0,144827586.20689654,5.198072728827808
jordan,Premium,450,138944444.44444445,118720739.18189484,135818907.10382515,142527972.027972,4.828595307262835
niloufar,Premium,378,140140845.07042253,117071703.24777348,135611943.06930694,143273475.60975608,5.467023219817981
amir-abad,Premium,325,140000000.0,114893624.02314351,137209302.3255814,141891891.8918919,3.3447068330789254
vanak,Premium,269,145000000.0,114495486.14391305,140000000.0,150232558.1395349,7.056936647955098
amaniyeh,Premium,266,145129734.25402802,114379892.74644576,140985901.409859,151851851.85185185,7.487060110627378
poonak,Premium,2767,114606741.5730337,112171223.0591967,113333333.33333333,115789473.68421052,2.143102855177161
seyed-khandan,Premium,382,125000000.0,108742059.2166512,121608550.27465966,129871621.62162161,6.610457077569556
north-sohrevardi,Premium,619,115217391.30434783,106453326.84459768,112903225.80645162,118484375.0,4.844016281192935
south-janat-abad,Premium,1483,109259259.25925925,105798257.15741426,108108108.1081081,110326086.95652173,2.0300145392260354
aboozar,Premium,474,116447026.18345761,105441071.8616558,114375000.0,118892652.21275425,3.8795771440628033
central-janat-abad,Premium,1321,105882352.94117647,102600088.4019246,105000000.0,107142857.14285715,2.02380952380953
sazamn-barnameh,Premium,1667,104375000.0,101887797.22480972,103508771.92982456,105338676.84478371,1.7532023137333148
shams-abad,Premium,649,105882352.94117647,100074409.20388496,104819277.10843374,108280254.77707006,3.2687011314898595
kooy-e-ferdos,Premium,1377,101818181.81818181,99263799.46985473,101004797.97979797,102941176.47058824,1.9018003034547224
north-janat-abad,Premium,697,103406593.40659341,98548449.77415152,101612903.22580644,105044491.52542374,3.318539163285584
shahrak-naft-district5,Premium,252,112250000.0,98388434.56811751,109624066.00249067,115533625.73099415,5.2646411835220315
shahin,Premium,260,111506935.68726355,98244719.53081182,110040254.23728813,114285714.28571428,3.807350656943102
