city_slug,listings,median_asking_price,median_price_per_sqm,mean_price_per_sqm,median_building_size_sqm,median_rooms
pool,48,2100000000.0,5604066.60262568,15850496.270336607,333.5,2.0
khaf,47,1100000000.0,7500000.0,13617486.396590848,160.0,2.0
shemshak,47,8500000000.0,65853658.53658537,86006182.48286292,168.0,2.0
reyneh,47,3000000000.0,13000000.0,34649246.6034361,240.0,2.5
rudbar,47,1683000000.0,5000000.0,11896725.525531132,222.0,2.0
bandar-gaz,47,1750000000.0,16447368.421052631,26819286.688836,120.0,2.0
rankouh,46,2830000000.0,10000000.0,17571087.10809651,235.0,2.0
saman-city,45,1100000000.0,2500000.0,11795926.574027125,260.0,2.0
sisakht,45,1400000000.0,4200000.0,7075990.15278943,450.0,3.0
chamran-town,42,1975000000.0,15141666.666666668,26976736.55051757,120.0,2.0
ghorogh,40,1250000000.0,7007575.757575758,10204896.166719291,137.0,2.0
konarak,39,570000000.0,3428571.4285714286,4991021.646647596,200.0,2.0
gomishan,39,1800000000.0,18333333.333333332,13355662.655359289,110.0,2.0
khan-bin,39,900000000.0,5500000.0,9508216.010126216,200.0,2.0
shal,38,1212000000.0,4541666.666666667,10621487.079639507,158.5,2.0
kojur,37,1300000000.0,4000000.0,8167046.603133672,300.0,2.0
makloan,37,2900000000.0,9000000.0,28246450.35814715,330.0,2.0
sorkhan-kalateh,37,1200000000.0,4000000.0,8337928.748806997,285.0,2.0
manjil,37,1250000000.0,12162162.162162162,12561532.503486956,100.0,2.0
ziyabar,35,2500000000.0,7640750.670241287,19842150.83507349,298.0,2.0
bardaskan,34,875000000.0,6781250.0,8976072.901419647,155.0,2.0
piranshahr,34,829000000.0,8951219.512195121,12054819.092048869,109.5,1.5
lavandevil,34,1925000000.0,6833333.333333334,20364497.061850518,275.0,2.0
barah-sar,32,1490000000.0,4301282.051282051,12297971.110601828,288.5,2.0
akand,31,2000000000.0,6340057.636887608,23306021.619385593,290.0,2.0
khoshroud-pey,31,1500000000.0,6844106.463878327,10298465.214002952,198.0,2.0
sourek,31,935000000.0,4000000.0,6241050.186155382,230.0,2.0
takht,31,500000000.0,1233333.3333333333,5621613.165154029,300.0,2.0
paeen-holar,29,2400000000.0,5000000.0,33053852.00859303,220.0,2.0
amirkala,29,2200000000.0,24285714.285714287,21943783.457759157,114.0,2.0
baladeh,29,2000000000.0,6666666.666666667,18176624.736608468,180.0,2.0
hadi-shahr,29,1580000000.0,7181818.181818182,14969579.695140524,200.0,2.0
zargarshahr,28,2100000000.0,13500000.0,16390967.045600727,233.0,2.0
galugah-babol,28,1400000000.0,5500000.0,10354750.96794355,200.0,3.0
gahvareh,27,820000000.0,7303370.786516854,10615352.07857377,190.0,2.0
dalkhani,26,3825000000.0,13664874.551971326,26867563.28023501,250.0,2.0
farim,26,1137500000.0,4457692.307692308,9251422.187297206,300.0,3.0
mohr,25,455000000.0,1666666.6666666667,7043528.533376655,270.0,2.0
haviq,25,2100000000.0,7000000.0,21438501.68118544,200.0,2.0
gazanak,25,1600000000.0,7491467.576791809,20556734.365015894,200.0,2.0
loshan,24,1395000000.0,17125000.0,17640827.958418835,101.5,1.0
babakan,24,962500000.0,5588235.294117647,11507798.389636489,200.0,2.0
kouhi-kheyl,23,1630000000.0,7874396.1352657005,15357754.899496773,200.0,2.0
vajargah,22,2700000000.0,10172413.793103449,13342278.544142572,249.0,2.0
hormuz,22,1250000000.0,5258358.662613982,9050144.028359609,181.5,3.0
chobar,20,1900000000.0,9500000.0,27543389.800557226,252.0,2.0
sardasht,19,1250000000.0,10000000.0,12706293.53115275,140.0,1.0
jirandeh,19,2000000000.0,16923076.923076924,24957498.099105056,180.0,2.0
nodeh-khandoz,19,1300000000.0,14666666.666666666,16747970.524709033,150.0,2.0
dargahan,18,2275000000.0,14823529.411764706,20338436.050019637,203.5,2.5
jelin,16,800000000.0,4000000.0,5581352.645488298,132.5,1.0
rostamkola,15,695000000.0,3000000.0,6092791.037965026,200.0,2.0
negin-shahr,14,1050000000.0,6942244.224422442,9314235.54570343,175.0,2.0
oshnavieh,14,2075000000.0,10340909.09090909,12407894.857931959,207.5,2.0
arjmand,14,1550000000.0,5583333.333333334,5504264.517637405,379.0,1.0
sadegh-abad,14,960000000.0,11010040.160642572,13289836.089128496,125.0,2.0
arateh,13,1400000000.0,3571428.5714285714,3540071.80937874,505.0,
mazrae-katool,13,1100000000.0,4500000.0,8488733.683477512,208.0,2.0
masuleh,13,4500000000.0,11250000.0,27259948.291094836,150.0,2.0
daland,12,1420000000.0,17500000.0,14753059.35069493,129.5,2.5
alghajar,12,789500000.0,3458525.3456221195,6798123.991799294,200.0,2.0
faragi,10,675000000.0,2336943.6201780415,4771259.9816801455,257.5,2.0
gatab,10,1465000000.0,7887596.899224807,13957620.389934862,207.5,3.0
nokandeh,10,1425000000.0,5107142.857142857,10927267.883400608,214.0,2.0
khalil-shahr,9,800000000.0,2465753.4246575343,5222677.454989293,200.0,1.5
astaneh-sara,9,1300000000.0,14705882.352941176,14841438.42706842,85.0,2.0
boluk,8,675000000.0,3619047.6190476194,7401647.97036268,210.0,2.5
sijval,6,475000000.0,1434397.1631205673,1610539.7951142632,267.5,
tabaghdeh,6,1675000000.0,6942190.669371197,14739090.01148352,225.0,1.5
simin-shahr,6,1600000000.0,13055555.555555556,13463267.376966007,165.0,2.5
khour,5,350000000.0,257142.85714285713,17277750.038082294,700.0,3.0
inche-borun,4,1950000000.0,7437500.0,8635416.666666666,180.0,3.0
dozin,4,925000000.0,6750000.0,6672794.117647059,300.0,2.5
sangdovin,4,1075000000.0,4020895.5223880596,7304892.205638474,145.5,1.5
goli-dagh,3,1500000000.0,9230769.23076923,9743589.743589744,260.0,1.0
qasemabad-khaf,3,300000000.0,1415094.3396226414,3579176.745686179,130.0,2.0
maraveh-tapeh,2,530555555.5,1765432.098611111,1765432.098611111,330.0,5.0
yanghagh,1,4444444.0,54869.67901234568,54869.67901234568,81.0,3.0
anbaralum,1,850000000.0,8500000.0,8500000.0,100.0,2.0
tatar-olya,1,1200000000.0,3703703.703703704,3703703.703703704,324.0,
