neighborhood_slug,listings,median_price_per_sqm,ci95_low,ci95_high,ci95_width,relative_ci_width_pct,stabilized_price_per_sqm,uncertainty_rank,price_rank_stabilized
seyed-khandan,382,125000000.0,121608550.27465966,129871621.62162161,8263071.346961945,6.610457077569556,108742059.2166512,82.0,25.0
north-sohrevardi,619,115217391.30434783,112903225.80645162,118484375.0,5581149.193548381,4.844016281192935,106453326.84459768,59.0,26.0
south-janat-abad,1483,109259259.25925925,108108108.1081081,110326086.95652173,2217978.8484136313,2.0300145392260354,105798257.15741426,5.0,27.0
aboozar,474,116447026.18345761,114375000.0,118892652.21275425,4517652.21275425,3.8795771440628033,105441071.8616558,41.0,28.0
central-janat-abad,1321,105882352.94117647,105000000.0,107142857.14285715,2142857.1428571492,2.02380952380953,102600088.4019246,4.0,29.0
sazamn-barnameh,1667,104375000.0,103508771.92982456,105338676.84478371,1829904.9149591476,1.7532023137333148,101887797.22480972,1.0,30.0
shams-abad,649,105882352.94117647,104819277.10843374,108280254.77707006,3460977.668636322,3.2687011314898595,100074409.20388496,27.0,31.0
kooy-e-ferdos,1377,101818181.81818181,101004797.97979797,102941176.47058824,1936378.4907902628,1.9018003034547224,99263799.46985473,2.0,32.0
north-janat-abad,697,103406593.40659341,101612903.22580644,105044491.52542374,3431588.2996172905,3.318539163285584,98548449.77415152,28.0,33.0
shahrak-naft-district5,252,112250000.0,109624066.00249067,115533625.73099415,5909559.728503481,5.2646411835220315,98388434.56811751,67.0,34.0
shahin,260,111506935.68726355,110040254.23728813,114285714.28571428,4245460.048426151,3.807350656943102,98244719.53081182,38.0,35.0
haft-hoz,356,106966490.29982364,103699339.38043451,110055851.06382978,6356511.6833952665,5.942526173924346,97778756.90975893,78.0,36.0
bagh-feyz,824,100000000.0,99383134.71940501,101405952.38095239,2022817.6615473777,2.0228176615473776,96501688.62792112,3.0,37.0
south-shahran,754,100000000.0,99421202.95698924,102062074.82993197,2640871.872942731,2.6408718729427307,96249871.43184596,13.0,38.0
daryan-no,253,107843137.25490196,104561597.28122345,111015151.5151515,6453554.233928055,5.984204835096923,96240079.9267128,79.0,39.0
sattarkhan,563,100757575.75757575,99125000.0,103095394.73684211,3970394.7368421108,3.940542144835779,95865712.53491066,44.0,40.0
north-shahran,781,97500000.0,96400000.0,99152542.37288135,2752542.372881353,2.823120382442413,94428549.51927362,18.0,41.0
eram,281,103174603.17460318,100000000.0,105714285.71428572,5714285.714285716,5.53846153846154,94407312.18930334,72.0,42.0
sadeghiyeh,418,99179445.78911924,94827586.20689656,102325268.8172043,7497682.610307738,7.559714163204462,93746424.2920244,90.0,43.0
west-tehranpars,1514,95000000.0,93750000.0,96748655.91397849,2998655.9139784873,3.156479909451039,93558575.19253404,24.0,44.0
shahrak-e-parvaz,330,100000000.0,98701298.7012987,102623015.87301588,3921717.171717182,3.921717171717182,93351281.56716052,42.0,45.0
west-shahrak-e-golestan,1157,95161290.32258065,93513529.4117647,99266528.92561984,5752999.513855144,6.045524912864727,93317883.67094149,80.0,46.0
shadman,286,100977403.1563845,98986370.7165109,104304800.72463767,5318430.0081267655,5.26695066607137,93304151.9381526,68.0,47.0
narmak,728,95571895.4248366,93836182.33618234,97493032.24493948,3656849.9087571353,3.8262816620950018,92790701.22040312,39.0,48.0
almahdi,254,99206349.20634921,96069140.625,100956912.87878788,4887772.253787875,4.926874431818178,91871821.11299811,60.0,49.0
sazman-ab,418,96091163.73822257,93821424.66950727,98297180.00339225,4475755.333884984,4.657821967978357,91761924.81622715,56.0,50.0
niroo-havayi,380,95000000.0,92081376.26262626,98735719.72581874,6654343.463192478,7.004572066518398,90803218.603131,83.0,51.0
dehkade-olympic,270,96463937.62183237,85644536.71328671,105358422.93906811,19713886.225781396,20.436534845867225,90640863.87225504,103.0,52.0
tarasht,334,94117647.05882353,90400633.04275633,95267628.20512821,4866995.162371874,5.171182360020117,89924118.57690576,65.0,53.0
kuhak,385,91600000.0,90000000.0,93103448.27586207,3103448.275862068,3.3880439692817337,88685404.39330257,30.0,54.0
hakimiyeh,340,86459876.54320988,85000000.0,88329380.67571527,3329380.6757152677,3.850781204911101,85288449.56081972,40.0,55.0
parastar,270,84000000.0,79887096.77419354,89057231.29610115,9170134.521907613,10.916826811794778,83715662.6441673,97.0,56.0
majidiyeh,269,83076923.07692307,80000000.0,85903614.45783132,5903614.457831323,7.106202588130296,83186169.84368704,85.0,57.0
tehran-kerman,411,81052631.57894737,78823863.63636363,83333333.33333333,4509469.696969703,5.56363144431327,81792222.32360882,73.0,58.0
