neighborhood_slug,listings,median_asking_price,median_price_per_sqm,p25_price_per_sqm,p75_price_per_sqm,median_building_size_sqm,median_rooms,median_construction_year_jalali,median_latitude,median_longitude,median_location_radius,elevator_share,parking_share,warehouse_share,rebuilt_share,balcony_share,price_vs_city_median_pct,stabilized_price_per_sqm,stabilization_weight,iqr_price_per_sqm
zafar,442,16500000000.0,140967365.96736598,122814685.31468531,168617724.86772487,120.0,2.0,1390.0,35.76667404174805,51.43242645263672,500.0,0.8789346246973365,0.9400479616306955,0.9616306954436451,0.4635036496350365,0.8935361216730038,69.16083916083919,119673265.63943993,0.6884735202492211,45803039.55303955
gomrok,438,2700000000.0,49212549.603174604,44046511.62790698,55240471.86932849,57.0,1.0,1390.0,35.665056228637695,51.38981628417969,500.0,0.5314861460957179,0.5107913669064749,0.7745803357314148,0.44508670520231214,0.7030716723549488,-40.944940476190474,58047310.196927756,0.6865203761755486,11193960.241421513
masoudieh,432,3200000000.0,49878048.780487806,44271978.02197802,55190081.351689614,68.5,2.0,1393.0,35.633296966552734,51.4968147277832,500.0,0.5497512437810945,0.6553398058252428,0.7354368932038835,0.43729903536977494,0.7302158273381295,-40.14634146341463,58674631.780877784,0.6835443037974683,10918103.329711594
abouzar,431,5650000000.0,72641509.43396227,64089552.238805965,85000000.0,81.0,2.0,1390.0,35.652414321899414,51.47984313964844,500.0,0.7272727272727273,0.7434052757793765,0.8129496402877698,0.4491017964071856,0.8041237113402062,-12.83018867924527,75872824.65498461,0.6830427892234548,20910447.761194035
sazman-ab,418,8850000000.0,96091163.73822257,85891536.8884694,108163390.66339067,94.5,2.0,1391.0,35.73834800720215,51.28927040100098,500.0,0.8252427184466019,0.963855421686747,0.983132530120482,0.6813880126182965,0.9765100671140939,15.309396485867088,91761924.81622717,0.6763754045307443,22271853.77492127
sadeghiyeh,418,9000000000.0,99179445.78911924,77081395.34883721,117483793.51740697,100.0,2.0,1395.0,35.72065734863281,51.34082221984863,500.0,0.7575757575757576,0.9246753246753247,0.9090909090909091,0.5566666666666666,0.9326923076923077,19.015334946943096,93746424.2920244,0.6763754045307443,40402398.16856976
tehran-kerman,411,5000000000.0,81052631.57894737,70312500.0,91890410.95890412,63.0,1.0,1392.0,35.73118591308594,51.4730339050293,500.0,0.639386189258312,0.6439393939393939,0.8939393939393939,0.4831081081081081,0.7874015748031497,-2.7368421052631597,81792222.32360882,0.6726677577741408,21577910.958904117
shahid-navab-safavi,398,2745000000.0,50000000.0,43596563.01145663,57535377.358490564,54.0,1.0,1386.0,35.67668151855469,51.380897521972656,500.0,0.53125,0.46786632390745503,0.8663239074550129,0.6764705882352942,0.8081180811808119,-39.99999999999999,59315324.48583831,0.6655518394648829,13938814.347033933
kuhak,385,10950000000.0,91600000.0,79120879.12087911,108253968.25396825,117.0,2.0,1400.0,35.72768020629883,51.24349021911621,500.0,0.9653333333333334,0.9973474801061007,0.9946949602122016,0.2975609756097561,0.9803149606299213,9.919999999999995,88685404.39330257,0.6581196581196581,29133089.13308914
seyed-khandan,382,12850000000.0,125000000.0,106357742.78215224,150000000.0,104.5,2.0,1392.5,35.74592590332031,51.45535659790039,500.0,0.7800586510263929,0.9293785310734464,0.9717514124293786,0.4956521739130435,0.9402390438247012,50.0,108742059.2166512,0.6563573883161512,43642257.217847764
